lang_pair,source,reference,deepl,produced_from,inner_id,spatial_sense,error_type
en_pt_br,"Our actions change the environment, or context, and these changes are then fed back into the decision loop.","Nossas ações modificam o ambiente, ou o contexto, e estas mudanças, por sua vez, retroalimentam a alça de decisão.","Nossas ações mudam o ambiente, ou contexto, e essas mudanças são então realimentadas no ciclo de decisão.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,233,Through(5),cc
en_pt_br,"And so this starts in four weeks, at the end of the summer, and my partner and I, Matthew and I, just went through the arduous and totally convoluted process of getting certified as high school teachers to actually run it.","Isso começa em quatro semanas, no final do verão. E meu parceiro e eu, Matthew e eu, acabamos de passar por um árduo e complicado processo de obter certificados de professores do ensino médio para executá-lo.","Portanto, o curso começa daqui a quatro semanas, no final do verão, e meu parceiro e eu, Matthew e eu, acabamos de passar pelo árduo e totalmente complicado processo de obter a certificação de professores do ensino médio para poder realizá-lo.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,444,Through(5),cc
en_pt_br,But that math liberation didn't get into education yet.,Mas esta libertação da matemática ainda não chegou na educação.,Mas essa liberação da matemática ainda não havia chegado à educação.,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,966,Into(3),po
en_pt_br,"So I have this distinction between what we're making people do and the subject that's sort of mainstream and the subject that, in a sense, people might follow with their own interest and perhaps even be spiked into doing that.","Por isso faço a distinção entre o que estamos forçando as pessoas a fazer e o assunto que está na moda e o assunto que, de certo modo, as pessoas podem seguir por interesse próprio e talvez até serem incentivadas a isto.","Portanto, faço essa distinção entre o que estamos obrigando as pessoas a fazer e o assunto que é uma espécie de corrente dominante e o assunto que, de certa forma, as pessoas podem seguir com seu próprio interesse e talvez até mesmo ser estimuladas a fazer isso.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,991,Into(3),cc
en_pt_br,And we get sucked into that faster than anything.,E caímos nessa mais rápido que qualquer outra coisa.,E somos sugados por isso mais rápido do que qualquer outra coisa.,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,2113,Into(3),ie
en_pt_br,So even property rights have ambiguity built into them.,"Então, até os direitos de propriedade trazem ambiguidade,","Portanto, até mesmo os direitos de propriedade têm uma ambiguidade embutida.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,2454,Into(3),cc
en_pt_br,"But here's the thing: our aim is to encourage students to articulate their own opinions, not to coerce them into agreeing with us, so it actually doesn't matter if he and I agree.","Mas, penso da seguinte forma, nosso objetivo é incentivar os alunos a articular opiniões próprias, e não coagi-los a concordar conosco. Por isso, não importa se eu e ele concordarmos.","Mas a questão é a seguinte: nosso objetivo é incentivar os alunos a articularem suas próprias opiniões, não coagi-los a concordar conosco, portanto, na verdade, não importa se ele e eu concordamos.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,2797,Into(3),cc
en_pt_br,"So the question started to work its way into my work life, as well.","Assim, aquela pergunta começou a impactar meu trabalho também.","Assim, a questão começou a entrar em minha vida profissional também.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,2901,Into(3),ie
en_pt_br,"I'm taking the temperature of the canal outside, pumping it through the heat exchange mechanism, it's turning through these amazing sails on the roof, and that, in turn, is falling softly onto the people in the restaurant, cooling them, or heating them, as the need may be.","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.","Estou pegando a temperatura do canal externo, bombeando-a através do mecanismo de troca de calor, ela está girando através dessas incríveis velas no telhado e isso, por sua vez, está caindo suavemente sobre as pessoas no restaurante, resfriando-as ou aquecendo-as, conforme a necessidade.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,3274,Through(5),sp
en_pt_br,"We are now going through an amazing and unprecedented moment where the power dynamics between men and women are shifting very rapidly, and in many of the places where it counts the most, women are, in fact, taking control of everything.","Estamos agora passando por um momento incrível e sem precedentes onde a dinâmica do poder entre homens e mulheres está mudando rapidamente. E em muitos lugares onde isso é mais importante, as mulheres estão, de fato, tomando o controle de tudo.","Estamos passando por um momento incrível e sem precedentes em que a dinâmica do poder entre homens e mulheres está mudando muito rapidamente e, em muitos dos lugares mais importantes, as mulheres estão, de fato, assumindo o controle de tudo.",SRC_TM_DATA/data_2024/en-pt_br-2.tmx,4074,Through(5),cc
