lang_pair,source,reference,mixtral,inner_id,produced_from,spatial_sense,error_type
en_pt_br,"In fact, most of my career, I've been immersing myself into seemingly horrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, that hopefully break them down in a way that make them entertaining and accessible to an audience.","De fato, a maior parte de minha carreira, tenho estado imerso em situações aparentemente horríveis com o firme propósito de tentar examinar questões sociais de modo a torná-las empolgantes, torná-las interessantes, esperando quebrá-las de modo a torná-las divertidas e acessíveis a uma platéia.","De fato, maior parte da minha carreira, tenho me mergulhado em situações aparentemente horríveis com o objetivo integral de examinar questões sociais de maneira envolvente, interessante, que possivelmente as desconstrua de forma divertida e acessível a uma audiência.",15936,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"ie, wl"
en_pt_br,"So if we're serious about helping black boys and other children to read when it's not required, we need to incorporate relevant male reading models into early literacy and exchange some of the children's books that adults love so much for funny, silly or even gross books, like ""Gross Greg"".","Então, se estamos falando sério em ajudar as crianças a ler quando não for exigido, precisamos incorporar modelos de leitura relevantes no início da alfabetização e trocar alguns livros infantis que os adultos amam por livros engraçados, bobos ou até nojentos como o ""Gross Greg"".","Então, se realmente estivermos preocupados em ajudar meninos negros e outras crianças a ler quando não é obrigatório, precisamos incorporar modelos masculinos relevantes na alfabetização inicial e trocar alguns dos livros infantis que os adultos amam tanto por livros engraçados, bobos ou até mesmo repugnantes, como ""Greg Grosso"".",25983,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),om
en_pt_br,"And for a moment I was wondering, are we going to live in order to see real change happening on the ground, a change that does not come through foreign intervention, through the misery of occupation, through nations invading our land and deepening the sense of inferiority sometimes?","E, por um momento, pensei será que viveremos o suficiente para ver mudanças reais acontecendo neste panorama, uma mudança que não seja por intervenção estrangeira, pela miséria da ocupação, de outras nações invadindo nossa terra e aprofundando, muitas vezes, o sentimento de inferioridade?","E por um momento me perguntei, vamos viver para ver mudanças reais acontecendo no terreno, mudanças que não ocorrem por intermédio de intervenção estrangeira, por meio da miséria da ocupação, por nações invadirem nossa terra e profundizarem o senso de inferioridade algumas vezes?",12042,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"an, wl, in"
en_pt_br,"Moonlighting as a stand-up comedian for the past eight years, I understand the importance of cultural competency, which I define as the ability to translate what you want someone else to know or be able to do into communication or experiences that they find relevant and engaging.","Ao fazer bico como comediante nos últimos oito anos, eu entendi a importância da competência cultural, a qual eu defino como a habilidade de traduzir o que você quer que as pessoas saibam ou façam em comunicação ou experiências relevantes e envolventes para elas.","Trabalhando como humorista de stand-up à noite ao longo dos últimos oito anos, compreendo a importância da competência cultural, que defino como a capacidade de traduzir o que você deseja que alguém saiba ou seja capaz de fazer em comunicação ou experiências que eles encontram relevantes e engaging.",25955,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"ie, un"
en_pt_br,"And what's interesting to me is that the teams that usually win are not the ones with the most experienced team members, but the ones with members who are open to learn, who are open to unlearn and who are open to helping each other navigate through the changing circumstances.","O mais interessante para mim é que as equipes vencedoras não são aquelas com membros de maior experiência, mas sim, as mais abertas a aprender, e a desaprender, abertas a auxiliar uma à outra, a navegar na alteração de circunstâncias.","E o que é interessante para mim é que as equipes que geralmente ganham não são as que têm os membros mais experientes, mas sim as que têm membros dispostos a aprender, dispostos a desaprender e dispostos a ajudar uns aos outros a navegar pelas circunstâncias cambiantes.",14465,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),ie
en_pt_br,"I'm taking the temperature of the canal outside, pumping it through the heat exchange mechanism, it's turning through these amazing sails on the roof, and that, in turn, is falling softly onto the people in the restaurant, cooling them, or heating them, as the need may be.","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.","Estou medindo a temperatura do canal do lado de fora, passando-a por mecanismo de troca de calor, ela gira através dessas lindas velas no telhado e, em seguida, desce suavemente sobre as pessoas no restaurante, esfriando-as ou aquecendo-as, conforme necessário.",3274,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"ie, wl"
en_pt_br,"What the global delivery model allows is, it allows you to take previously geographically core-located tasks, break them up into parts, send them around the world where the expertise and the cost structure exists, and then specify the means for reintegrating them.","O modelo de entrega global permite que você pegue tarefas geograficamente localizadas, separe-as em partes, mande estas partes para lugares do mundo nos quais existam experiência e estrutura de custos, e então especifique os meios para reintegrá-las.","O modelo de entrega global permite, em essência, dividir tarefas anteriormente localizadas em núcleos geográficos, quebrá-las em partes e distribuí-las pelo mundo para where a expertise e a estrutura de custos existem, e, em seguida, especificar os meios de reagrupá-los.",69937,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"lt, ad, ie"
en_pt_br,"However, if I today, then you tomorrow, maybe even more of us someday, if we embrace our right to look like ourselves, then in the world that's been violently whitewashed, we will become the pinpricks of color pushing through, much like those widows of Vrindavan.","No entanto, se eu hoje, depois você amanhã, talvez mais alguns de nós algum dia, se abraçarmos nosso direito de sermos nós mesmos, em um mundo que tem sido violentamente privado de cores, seremos esses raios de cores que abrem luz pelo caminho, como as viúvas de Vrindavan.","No entanto, se eu hoje, depois você amanhã, talvez até mesmo mais de nós algum dia, se nós abraçarmos nosso direito de nos parecer como nossa própria gente, então no mundo que foi violentamente branqueado, nós vamos nos tornar os pequenos pontos de cor que empurram através, muito como essas viúvas de Vrindavan.",10769,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"ie, lt"
en_pt_br,"And through campus-level proceedings, Title IX goes so far as to give victims equitable rights during the campus process, which means that victims can represent their own interests during proceedings, rather than relying on educational institutions to do so.","E em processos no campus, o Título IX chega ao ponto de dar às vítimas direitos iguais durante o processo no campus, o que significa que vítimas podem representar seus próprios interesses, em vez de terem que contar com as instituições educacionais para tal.","E através de procedimentos a nível do campus, o Título IX vai ainda mais longe ao dar a vítimas direitos equitativos durante o processo no campus, o que significa que as vítimas podem representar seus próprios interesses durante os procedimentos, em vez de se apoiarem em instituições educacionais para fazê-lo.",72326,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(3),cc
en_pt_br,And the magic and the horror of that is that the same math that you use to break up the big thing into a million little things can be used to find a million little things and sew them back together and figure out what's actually happening in the market.,"E a mágica e o horror disso é que a mesma matemática que se usa para partir a coisa grande em milhões de coisinhas pode ser usada para encontrar um milhão de coisinhas e as emendar, todas juntas novamente e entender o que realmente está acontecendo no mercado.",E a magia e o horror dessa é que a mesma matemática que você usa para decompor a coisa grande em um milhão de pequenas coisas pode ser usada para encontrar um milhão de pequenas coisas e costurá-las de volta juntas e descobrir o que realmente está acontecendo no mercado.,27134,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),cc
