,spatial_sense,error_type,spatial_sense_label,count
18,Into(1),ag,Into,3
19,Into(1),an,Into,2
20,Into(1),cc,Into,3
21,Into(1),gr,Into,2
22,Into(1),ie,Into,2
23,Into(1),in,Into,14
24,Into(1),om,Into,2
25,Into(1),po,Into,4
26,Into(1),sp,Into,1
27,Into(1),un,Into,1
28,Into(1),wl,Into,10
29,Into(1),wt,Into,1
30,Into(2),an,Into,1
31,Into(2),gr,Into,2
32,Into(2),in,Into,2
33,Into(2),po,Into,1
34,Into(2),sp,Into,1
35,Into(2),wl,Into,2
36,Into(3),ad,Into,7
37,Into(3),ag,Into,15
38,Into(3),an,Into,16
39,Into(3),cc,Into,7
40,Into(3),co,Into,5
41,Into(3),gr,Into,23
42,Into(3),ie,Into,16
43,Into(3),in,Into,23
44,Into(3),om,Into,6
45,Into(3),po,Into,3
46,Into(3),sp,Into,1
47,Into(3),un,Into,3
48,Into(3),wl,Into,28
49,Into(3),ws,Into,1
50,Into(3),wt,Into,5
116,Into(1),ag,Into,2
117,Into(1),an,Into,1
118,Into(1),cc,Into,6
119,Into(1),co,Into,2
120,Into(1),gr,Into,5
121,Into(1),ie,Into,1
122,Into(1),in,Into,5
123,Into(1),om,Into,4
124,Into(1),po,Into,2
125,Into(1),sp,Into,1
126,Into(1),un,Into,2
127,Into(1),wl,Into,3
128,Into(1),wt,Into,4
129,Into(2),ag,Into,1
130,Into(2),an,Into,1
131,Into(2),co,Into,1
132,Into(2),in,Into,1
133,Into(2),po,Into,1
134,Into(2),sp,Into,1
135,Into(2),wl,Into,3
136,Into(3),ad,Into,3
137,Into(3),ag,Into,13
138,Into(3),an,Into,7
139,Into(3),cc,Into,17
140,Into(3),co,Into,11
141,Into(3),gr,Into,9
142,Into(3),ie,Into,7
143,Into(3),in,Into,22
144,Into(3),om,Into,10
145,Into(3),po,Into,5
146,Into(3),un,Into,8
147,Into(3),wl,Into,17
148,Into(3),wt,Into,5
207,Into(1),ag,Into,3
208,Into(1),an,Into,4
209,Into(1),cc,Into,3
210,Into(1),co,Into,5
211,Into(1),gr,Into,2
212,Into(1),ie,Into,3
213,Into(1),in,Into,3
214,Into(1),po,Into,2
215,Into(1),sp,Into,2
216,Into(1),wl,Into,7
217,Into(1),wt,Into,1
218,Into(2),ad,Into,1
219,Into(2),ag,Into,1
220,Into(2),an,Into,1
221,Into(2),co,Into,1
222,Into(2),om,Into,1
223,Into(2),sp,Into,1
224,Into(2),wl,Into,2
225,Into(3),ad,Into,5
226,Into(3),ag,Into,7
227,Into(3),an,Into,18
228,Into(3),cc,Into,19
229,Into(3),co,Into,8
230,Into(3),gr,Into,4
231,Into(3),ie,Into,15
232,Into(3),in,Into,10
233,Into(3),om,Into,2
234,Into(3),po,Into,2
235,Into(3),sp,Into,1
236,Into(3),un,Into,6
237,Into(3),wl,Into,19
238,Into(3),ws,Into,1
239,Into(3),wt,Into,6
296,Into(1),ad,Into,1
297,Into(1),ag,Into,3
298,Into(1),cc,Into,5
299,Into(1),co,Into,2
300,Into(1),gr,Into,1
301,Into(1),ie,Into,3
302,Into(1),in,Into,4
303,Into(1),om,Into,1
304,Into(1),po,Into,4
305,Into(1),wl,Into,7
306,Into(1),wt,Into,1
307,Into(2),cc,Into,2
308,Into(2),wl,Into,1
309,Into(2),ws,Into,1
310,Into(3),ad,Into,5
311,Into(3),ag,Into,4
312,Into(3),an,Into,9
313,Into(3),cc,Into,29
314,Into(3),co,Into,11
315,Into(3),ie,Into,14
316,Into(3),in,Into,6
317,Into(3),om,Into,1
318,Into(3),un,Into,6
319,Into(3),wl,Into,15
320,Into(3),ws,Into,1
321,Into(3),wt,Into,2
371,Into(1),ad,Into,3
372,Into(1),ag,Into,4
373,Into(1),an,Into,1
374,Into(1),cc,Into,4
375,Into(1),co,Into,2
376,Into(1),gr,Into,2
377,Into(1),ie,Into,2
378,Into(1),in,Into,10
379,Into(1),po,Into,2
380,Into(1),sp,Into,1
381,Into(1),un,Into,2
382,Into(1),wl,Into,7
383,Into(2),ad,Into,1
384,Into(2),an,Into,1
385,Into(2),cc,Into,1
386,Into(2),co,Into,2
387,Into(2),sp,Into,1
388,Into(2),un,Into,1
389,Into(2),wl,Into,3
390,Into(3),ad,Into,3
391,Into(3),ag,Into,15
392,Into(3),an,Into,9
393,Into(3),cc,Into,12
394,Into(3),co,Into,8
395,Into(3),gr,Into,6
396,Into(3),ie,Into,15
397,Into(3),in,Into,21
398,Into(3),om,Into,11
399,Into(3),po,Into,1
400,Into(3),sp,Into,1
401,Into(3),un,Into,11
402,Into(3),wl,Into,22
403,Into(3),ws,Into,1
404,Into(3),wt,Into,9
459,Into(1),cc,Into,15
460,Into(1),co,Into,2
461,Into(1),ie,Into,1
462,Into(1),po,Into,2
463,Into(1),sp,Into,3
464,Into(2),cc,Into,4
465,Into(3),an,Into,6
466,Into(3),cc,Into,67
467,Into(3),co,Into,2
468,Into(3),ie,Into,5
469,Into(3),po,Into,2
470,Into(3),un,Into,2
471,Into(3),wl,Into,3
514,Into(1),ad,Into,2
515,Into(1),ag,Into,1
516,Into(1),an,Into,2
517,Into(1),cc,Into,2
518,Into(1),co,Into,2
519,Into(1),gr,Into,2
520,Into(1),ie,Into,4
521,Into(1),in,Into,3
522,Into(1),om,Into,3
523,Into(1),po,Into,3
524,Into(1),sp,Into,2
525,Into(1),un,Into,3
526,Into(1),wl,Into,12
527,Into(1),ws,Into,1
528,Into(1),wt,Into,1
529,Into(2),ad,Into,1
530,Into(2),an,Into,1
531,Into(2),co,Into,1
532,Into(2),sp,Into,2
533,Into(2),un,Into,1
534,Into(2),wl,Into,3
535,Into(3),ad,Into,25
536,Into(3),ag,Into,20
537,Into(3),an,Into,32
538,Into(3),cc,Into,7
539,Into(3),co,Into,21
540,Into(3),gr,Into,11
541,Into(3),ie,Into,18
542,Into(3),in,Into,9
543,Into(3),om,Into,15
544,Into(3),sp,Into,2
545,Into(3),un,Into,5
546,Into(3),wl,Into,29
547,Into(3),wt,Into,7
