lang_pair,source,reference,llama2:7b,inner_id,produced_from,spatial_sense,error_type,bleu_score,meteor_score,bert_score,comet_score,ter_score
en_pt_br,"In fact, most of my career, I've been immersing myself into seemingly horrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, that hopefully break them down in a way that make them entertaining and accessible to an audience.","De fato, a maior parte de minha carreira, tenho estado imerso em situações aparentemente horríveis com o firme propósito de tentar examinar questões sociais de modo a torná-las empolgantes, torná-las interessantes, esperando quebrá-las de modo a torná-las divertidas e acessíveis a uma platéia.","In fact, for most of my career, I've been submerging myself into seemingly terrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, and hopefully break them down in a way that makes them entertaining and accessible to an audience.",15936,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"un, ha",0.0050313993350505,0.0814663951120162,0.42364696,0.6386670470237732,118.6046511627907
en_pt_br,"So if we're serious about helping black boys and other children to read when it's not required, we need to incorporate relevant male reading models into early literacy and exchange some of the children's books that adults love so much for funny, silly or even gross books, like ""Gross Greg"".","Então, se estamos falando sério em ajudar as crianças a ler quando não for exigido, precisamos incorporar modelos de leitura relevantes no início da alfabetização e trocar alguns livros infantis que os adultos amam por livros engraçados, bobos ou até nojentos como o ""Gross Greg"".","Se se formos seriamente em ajudar crianças negras e outros meninos a ler quando não é obrigatório, precisamos incorporar modelos de leitura masculina na formação inicial de leitura e trocar algumas das histórias infantis que os adultos amam por livros engraçados, divertidos ou até mesmo grosseiros, como ""Greg Gordo"".",25983,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"re, wo, wl",0.3199726855097559,0.620136186770428,0.97907895,0.7621378302574158,57.77777777777777
en_pt_br,"And for a moment I was wondering, are we going to live in order to see real change happening on the ground, a change that does not come through foreign intervention, through the misery of occupation, through nations invading our land and deepening the sense of inferiority sometimes?","E, por um momento, pensei será que viveremos o suficiente para ver mudanças reais acontecendo neste panorama, uma mudança que não seja por intervenção estrangeira, pela miséria da ocupação, de outras nações invadindo nossa terra e aprofundando, muitas vezes, o sentimento de inferioridade?","E por um instante pensei, estamos vindo a viver para ver um real mudança acontecer na terra, uma mudança que não vem através de intervenção estrangeira, através do sofrimento da ocupação, através das nações invadindo nossos terrenos e profundizando o sentido de inferioridade algumas vezes?",12042,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"lt, ag, an, ha",0.1105264479141676,0.4544234800838574,0.98093724,0.6467345356941223,109.30232558139534
en_pt_br,"Moonlighting as a stand-up comedian for the past eight years, I understand the importance of cultural competency, which I define as the ability to translate what you want someone else to know or be able to do into communication or experiences that they find relevant and engaging.","Ao fazer bico como comediante nos últimos oito anos, eu entendi a importância da competência cultural, a qual eu defino como a habilidade de traduzir o que você quer que as pessoas saibam ou façam em comunicação ou experiências relevantes e envolventes para elas.","Olhando para fora à noite, trabalhando como um stand-up comediante por oito anos, entendo a importância da competência cultural, que define-se pela capacidade de traduzir o que você quer que alguém saiba ou seja capaz de fazer em termos de comunicação e experiências que eles encontram relevantes e engraçados.",25955,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"ad, an, co",0.2477094708252279,0.4831932773109244,0.98411274,0.7748281359672546,77.27272727272727
en_pt_br,"And what's interesting to me is that the teams that usually win are not the ones with the most experienced team members, but the ones with members who are open to learn, who are open to unlearn and who are open to helping each other navigate through the changing circumstances.","O mais interessante para mim é que as equipes vencedoras não são aquelas com membros de maior experiência, mas sim, as mais abertas a aprender, e a desaprender, abertas a auxiliar uma à outra, a navegar na alteração de circunstâncias.","O que interessante para mim é que os times que normalmente ganham não são os com membros mais experimentados, mas os que possuem membros abertos à aprendizagem, abertos à desaprendizagem e abertos à ajuda um ao outro em navegar através das circunstâncias mudantes.",14465,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"lt, wl, ag",0.0924517211813386,0.3028643713434025,0.9576909,0.7547173500061035,107.5
en_pt_br,"I'm taking the temperature of the canal outside, pumping it through the heat exchange mechanism, it's turning through these amazing sails on the roof, and that, in turn, is falling softly onto the people in the restaurant, cooling them, or heating them, as the need may be.","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.","Eu estou tomando a temperatura do canal fora, bombeando o aquecimento por meio de uma mecanismo de troca térmica, ele está girando através dessas maravilhosas velas no telhado, e isso, em seguida, cai suavemente sobre os pessoas no restaurante, refrescando-os ou aquecendo-os como necessário.",3274,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"lt, ag, wl, sp",0.1545271434810462,0.3491758241758241,0.9888382,0.7713503241539001,65.21739130434783
en_pt_br,"What the global delivery model allows is, it allows you to take previously geographically core-located tasks, break them up into parts, send them around the world where the expertise and the cost structure exists, and then specify the means for reintegrating them.","O modelo de entrega global permite que você pegue tarefas geograficamente localizadas, separe-as em partes, mande estas partes para lugares do mundo nos quais existam experiência e estrutura de custos, e então especifique os meios para reintegrá-las.","O modelo global de entrega permite que você desfaz as tarefas que eram geograficamente localizadas, divide-as em partes, envia-as para todo o mundo onde existem as habilidades e estrutura de custos adequadas, e depois especifica como integrá-las.",69937,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"ag, lt",0.156015450725314,0.4813473915989159,0.9807836,0.8565868735313416,62.16216216216216
en_pt_br,"However, if I today, then you tomorrow, maybe even more of us someday, if we embrace our right to look like ourselves, then in the world that's been violently whitewashed, we will become the pinpricks of color pushing through, much like those widows of Vrindavan.","No entanto, se eu hoje, depois você amanhã, talvez mais alguns de nós algum dia, se abraçarmos nosso direito de sermos nós mesmos, em um mundo que tem sido violentamente privado de cores, seremos esses raios de cores que abrem luz pelo caminho, como as viúvas de Vrindavan.","Entretanto, se hoje eu, então você amanhã, talvez até mais de nós um dia, se emocionarmos o nosso direito de se parecer com nós mesmos, então no mundo que já foi violentamente branqueado, nós seremos as pontas coloridas que estremecem os corações das pessoas, assim como aquelas viúvas de Vrindavan..",10769,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"lt, wl, ie",0.1294124798333445,0.4951267339676084,0.9853627,0.6082796454429626,66.66666666666666
en_pt_br,"And through campus-level proceedings, Title IX goes so far as to give victims equitable rights during the campus process, which means that victims can represent their own interests during proceedings, rather than relying on educational institutions to do so.","E em processos no campus, o Título IX chega ao ponto de dar às vítimas direitos iguais durante o processo no campus, o que significa que vítimas podem representar seus próprios interesses, em vez de terem que contar com as instituições educacionais para tal.","E e o procedimento universitário pode chegar a dizer que a vítima possui direito equitativo durante as prerrogativas do campus, isto quer dizer que a vítima tem direito a representar suas próprias interesses durante os procedimentos, em oposição à dependência das instituições educacionais.",72326,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(3),"wl, ad, co, lt",0.0176277908998534,0.2996963339862539,0.9632416,0.7753700613975525,90.9090909090909
en_pt_br,And the magic and the horror of that is that the same math that you use to break up the big thing into a million little things can be used to find a million little things and sew them back together and figure out what's actually happening in the market.,"E a mágica e o horror disso é que a mesma matemática que se usa para partir a coisa grande em milhões de coisinhas pode ser usada para encontrar um milhão de coisinhas e as emendar, todas juntas novamente e entender o que realmente está acontecendo no mercado.",E o encanto e horror dessa é que os mesmos números matemáticos que você usa para dividir o grande em milhões de pequenos tamanhos podem ser usados para encontrar um milhão de pequenos tamanhos e secar eles juntos e descobrir o que está realmente acontecendo no mercado.,27134,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"wl, ad, om, ag, ha",0.2091471167017601,0.5334297952810052,0.98459065,0.7148652076721191,52.083333333333336
