lang_pair,source,reference,llama2:13b,inner_id,produced_from,spatial_sense,error_type,Unnamed: 0,bleu_score,meteor_score,bert_score,comet_score,ter_score
en_pt_br,"In fact, most of my career, I've been immersing myself into seemingly horrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, that hopefully break them down in a way that make them entertaining and accessible to an audience.","De fato, a maior parte de minha carreira, tenho estado imerso em situações aparentemente horríveis com o firme propósito de tentar examinar questões sociais de modo a torná-las empolgantes, torná-las interessantes, esperando quebrá-las de modo a torná-las divertidas e acessíveis a uma platéia.","Em verdade, a maior parte de minha carreira, meusmateiimersa nos situações que parecem horríveisdepois do objetivo de tentar examinar questões sociais de uma maneira que as faça interessantes, que as faça engraçadas, espero-as breakdownem uma forma que as torne acessíveis para um público.",15936,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"in, ag, co",57,0.2615084931931124,0.4065166666666667,0.9712596,0.6003677845001221,72.09302325581395
en_pt_br,"So if we're serious about helping black boys and other children to read when it's not required, we need to incorporate relevant male reading models into early literacy and exchange some of the children's books that adults love so much for funny, silly or even gross books, like ""Gross Greg"".","Então, se estamos falando sério em ajudar as crianças a ler quando não for exigido, precisamos incorporar modelos de leitura relevantes no início da alfabetização e trocar alguns livros infantis que os adultos amam por livros engraçados, bobos ou até nojentos como o ""Gross Greg"".","Se nosso objetivo é ajudar os meninos negros e outros filhos a aprender a ler quando não é exigido, precisamos incorporar modelos de leitura masculinos em litERAÇÃO inicial e trocar alguns dos livros infantis que adultos amam tanto por livros engraçados, absurdos ou mesmo grossos, como ""Greguça"".",25983,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"wl, ag, in",74,0.2711981710401392,0.5922326962809917,0.9724447,0.7381616234779358,60.0
en_pt_br,"And for a moment I was wondering, are we going to live in order to see real change happening on the ground, a change that does not come through foreign intervention, through the misery of occupation, through nations invading our land and deepening the sense of inferiority sometimes?","E, por um momento, pensei será que viveremos o suficiente para ver mudanças reais acontecendo neste panorama, uma mudança que não seja por intervenção estrangeira, pela miséria da ocupação, de outras nações invadindo nossa terra e aprofundando, muitas vezes, o sentimento de inferioridade?","E por um momento eu me perguntava se vamos viver para ver mudanças reais acontecerem no chão, uma mudança que não venha através da intervenção estrangeira, através da miséria da ocupação, através de nações invadir nossa terra e profundizar o sentimento de inferioridade às vezes?",12042,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"wl, wt, in",86,0.2771833116208678,0.5682851688284021,0.9870076,0.8152356743812561,58.13953488372093
en_pt_br,"Moonlighting as a stand-up comedian for the past eight years, I understand the importance of cultural competency, which I define as the ability to translate what you want someone else to know or be able to do into communication or experiences that they find relevant and engaging.","Ao fazer bico como comediante nos últimos oito anos, eu entendi a importância da competência cultural, a qual eu defino como a habilidade de traduzir o que você quer que as pessoas saibam ou façam em comunicação ou experiências relevantes e envolventes para elas.","Como um comediante stand-up por últimos oito anos, compreendo a importância da competência cultural, que defino como a habilidade de traduzir o que você quer que alguémOutra pessoa saiba ou possa fazer em comunicação ou experiências que eles encontrem relevantes e engajadores.",25955,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"om, an, in, ag",90,0.2795179278590307,0.6353618832957676,0.94675034,0.6562718749046326,95.45454545454544
en_pt_br,"And what's interesting to me is that the teams that usually win are not the ones with the most experienced team members, but the ones with members who are open to learn, who are open to unlearn and who are open to helping each other navigate through the changing circumstances.","O mais interessante para mim é que as equipes vencedoras não são aquelas com membros de maior experiência, mas sim, as mais abertas a aprender, e a desaprender, abertas a auxiliar uma à outra, a navegar na alteração de circunstâncias.","E a coisa que me é interessante é que as equipes que geralmente venham a triumphar não são as com os membros mais experimentados, mas sim as que têm membros que estão dispostos a aprender, a desaprender e a ajudar uns outros a navegar através das circunstâncias em constante mudança.",14465,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"in, co, wl",95,0.1143116419968656,0.4100674074731066,0.9862907,0.8162640929222107,90.0
en_pt_br,"I'm taking the temperature of the canal outside, pumping it through the heat exchange mechanism, it's turning through these amazing sails on the roof, and that, in turn, is falling softly onto the people in the restaurant, cooling them, or heating them, as the need may be.","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.","Eu estou tomando a temperatura do canal fora, pumpando por meio do mecanismo de troca de calor, que está girando através dessas amazing sailas no telhado, e isso, por sua vez, está caindo suavemente sobre as pessoas no restaurante, refrescando-as ou aquecendo-as, dependendo do que seja preciso.",3274,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"in, sp",107,0.2691673106835738,0.4629079557279348,0.98911995,0.7714959979057312,63.04347826086957
en_pt_br,"What the global delivery model allows is, it allows you to take previously geographically core-located tasks, break them up into parts, send them around the world where the expertise and the cost structure exists, and then specify the means for reintegrating them.","O modelo de entrega global permite que você pegue tarefas geograficamente localizadas, separe-as em partes, mande estas partes para lugares do mundo nos quais existam experiência e estrutura de custos, e então especifique os meios para reintegrá-las.","O que permite o modelo de entrega global é permitir que você tome tarefas previously geograficamente localizadas e descomposte-as em partes, enviando-as para diferentes locais do mundo onde existem habilidades e estruturas de custos mais favoráveis, e luego especificar os meios de reintegração delas.",69937,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"wo, un, in, ag",128,0.1178238656198324,0.5213074647246245,0.9848207,0.8181703686714172,75.67567567567568
en_pt_br,"However, if I today, then you tomorrow, maybe even more of us someday, if we embrace our right to look like ourselves, then in the world that's been violently whitewashed, we will become the pinpricks of color pushing through, much like those widows of Vrindavan.","No entanto, se eu hoje, depois você amanhã, talvez mais alguns de nós algum dia, se abraçarmos nosso direito de sermos nós mesmos, em um mundo que tem sido violentamente privado de cores, seremos esses raios de cores que abrem luz pelo caminho, como as viúvas de Vrindavan.","However, se eu me apresentar hoje, você amanhã, talvez mais de nós em algum dia, se nos ajustarmos ao nosso direito de parecermos mesmos, então no mundo que foi violentamente blanquejado, seremos os pontos de cor azulando através, muito como aquelas viúvas de Vrindavan.",10769,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"ad, wl, co, in, ie",129,0.0848757418991858,0.3847205241543622,0.85675573,0.4464316070079803,212.5
en_pt_br,"And through campus-level proceedings, Title IX goes so far as to give victims equitable rights during the campus process, which means that victims can represent their own interests during proceedings, rather than relying on educational institutions to do so.","E em processos no campus, o Título IX chega ao ponto de dar às vítimas direitos iguais durante o processo no campus, o que significa que vítimas podem representar seus próprios interesses, em vez de terem que contar com as instituições educacionais para tal.","E através de procedimentos campus-level, o Título IX vai tão longe a ponto de dar aos victimários direitos iguais durante o processo campus, o que significa que os victimários podem representar seus próprios interesses durante as procedimentos, em vez de confiar nas instituições educacionais para fazê-lo.",72326,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(3),"un, in, an, ag",143,0.3749943912477395,0.6686384585564761,0.9773501,0.8234648704528809,47.72727272727273
en_pt_br,And the magic and the horror of that is that the same math that you use to break up the big thing into a million little things can be used to find a million little things and sew them back together and figure out what's actually happening in the market.,"E a mágica e o horror disso é que a mesma matemática que se usa para partir a coisa grande em milhões de coisinhas pode ser usada para encontrar um milhão de coisinhas e as emendar, todas juntas novamente e entender o que realmente está acontecendo no mercado.",E a magia e o horror disso é que o mesmo matemática que você usa para desmembrar o grande coisa em um milhão de pequenas coisas pode ser usado para encontrar um milhão de pequenas coisas e costurá-las novamente e descobrir o que está realmente acontecendo no mercado.,27134,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),ag,149,0.2781953656973757,0.621909909784968,0.98624456,0.7650952935218811,41.66666666666667
