lang_pair,source,reference,llama3,inner_id,produced_from,spatial_sense,error_type,bleu_score,meteor_score,bert_score,comet_score,ter_score
en_pt_br,"In fact, most of my career, I've been immersing myself into seemingly horrible situations for the whole goal of trying to examine societal issues in a way that make them engaging, that make them interesting, that hopefully break them down in a way that make them entertaining and accessible to an audience.","De fato, a maior parte de minha carreira, tenho estado imerso em situações aparentemente horríveis com o firme propósito de tentar examinar questões sociais de modo a torná-las empolgantes, torná-las interessantes, esperando quebrá-las de modo a torná-las divertidas e acessíveis a uma platéia.","Na verdade, grande parte da minha carreira, eu tenho estado imerso em situações que parecem horrorosas por todo o objetivo de tentar examinar questões sociais de uma maneira que as tornem atraentes, interessantes, espero que asbrinquem e sejam divertidas e acessíveis ao público.",15936,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"wt, in",0.24098653614848,0.4993836291913214,0.9713841,0.6690770983695984,62.7906976744186
en_pt_br,"So if we're serious about helping black boys and other children to read when it's not required, we need to incorporate relevant male reading models into early literacy and exchange some of the children's books that adults love so much for funny, silly or even gross books, like ""Gross Greg"".","Então, se estamos falando sério em ajudar as crianças a ler quando não for exigido, precisamos incorporar modelos de leitura relevantes no início da alfabetização e trocar alguns livros infantis que os adultos amam por livros engraçados, bobos ou até nojentos como o ""Gross Greg"".","Então, se estamos sérios em ajudar os meninos negros e outras crianças a lerem quando não é necessário, precisamos incorporar modelos masculinos de leitura relevantes na alfabetização inicial e substituir alguns livros infantis que adultos adoram por livros engraçados, ridículos ou até mesmo grossos, como ""Gross Greg"".",25983,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"an, wl",0.2964342892267743,0.6944444444444445,0.98069763,0.8128620982170105,46.66666666666666
en_pt_br,"And for a moment I was wondering, are we going to live in order to see real change happening on the ground, a change that does not come through foreign intervention, through the misery of occupation, through nations invading our land and deepening the sense of inferiority sometimes?","E, por um momento, pensei será que viveremos o suficiente para ver mudanças reais acontecendo neste panorama, uma mudança que não seja por intervenção estrangeira, pela miséria da ocupação, de outras nações invadindo nossa terra e aprofundando, muitas vezes, o sentimento de inferioridade?","E por um momento eu me perguntei: vamos viver para ver mudanças reais acontecerem no chão, mudanças que não vêm pela intervenção estrangeira, pela miséria da ocupação, pela invasão de nossos territórios e aprofundamento do sentido de inferioridade às vezes? (",12042,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),an,0.2364213319420471,0.4143915870877028,0.98429847,0.7479541897773743,65.11627906976744
en_pt_br,"Moonlighting as a stand-up comedian for the past eight years, I understand the importance of cultural competency, which I define as the ability to translate what you want someone else to know or be able to do into communication or experiences that they find relevant and engaging.","Ao fazer bico como comediante nos últimos oito anos, eu entendi a importância da competência cultural, a qual eu defino como a habilidade de traduzir o que você quer que as pessoas saibam ou façam em comunicação ou experiências relevantes e envolventes para elas.","Trabalhando como comediantes de pé de pé há os últimos oito anos, entendo a importância da competência cultural, que eu defino como a capacidade de traduzir aquilo que você deseja que alguém mais saiba ou possa fazer em termos de comunicação ou experiências que eles encontrem relevante e atraente.",25955,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"an, ad",0.2322365386782331,0.5988170217427023,0.99201244,0.7729406356811523,65.9090909090909
en_pt_br,"And what's interesting to me is that the teams that usually win are not the ones with the most experienced team members, but the ones with members who are open to learn, who are open to unlearn and who are open to helping each other navigate through the changing circumstances.","O mais interessante para mim é que as equipes vencedoras não são aquelas com membros de maior experiência, mas sim, as mais abertas a aprender, e a desaprender, abertas a auxiliar uma à outra, a navegar na alteração de circunstâncias.","E o que é interessante para mim é que os times que habitualmente ganham não são os que têm os membros mais experientes, mas sim os que têm membros abertos a aprender, abertos a desaprender e abertos a ajudar uns aos outros a navegar pelas circunstâncias em constante mudança.",14465,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),cc,0.1404737671551078,0.4387219837863614,0.98427457,0.8491093516349792,85.0
en_pt_br,"I'm taking the temperature of the canal outside, pumping it through the heat exchange mechanism, it's turning through these amazing sails on the roof, and that, in turn, is falling softly onto the people in the restaurant, cooling them, or heating them, as the need may be.","Eu pego a temperatura do canal na parte de fora, bombeio pelo mecanismo de troca de calor, e ele é conduzido à essas saídas maravilhosas pelo teto, e que, por sua vez, cai suavemente sobre as pessoas do restaurante, refrescando-os, ou aquecendo-os, como a necessidade mandar.","Estou medindo a temperatura do canal lá fora, bombando-a através da mecânica de troca de calor, é que está passando por essas incríveis velas na cobertura, e isso, por sua vez, está caindo suavemente sobre as pessoas no restaurante, resfriando-as ou aquecendo-as, dependendo do que for necessário.",3274,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),wl,0.2512919762999135,0.4872869318181818,0.9832213,0.7395055294036865,63.04347826086957
en_pt_br,"What the global delivery model allows is, it allows you to take previously geographically core-located tasks, break them up into parts, send them around the world where the expertise and the cost structure exists, and then specify the means for reintegrating them.","O modelo de entrega global permite que você pegue tarefas geograficamente localizadas, separe-as em partes, mande estas partes para lugares do mundo nos quais existam experiência e estrutura de custos, e então especifique os meios para reintegrá-las.","O que o modelo de entrega global permite é permitir que você tome tarefas previamente localizadas geograficamente, as quebre em partes, as envie ao redor do mundo onde existam expertise e estrutura de custos, e então especifique os meios para reintegrá-las.",69937,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"co, wl",0.4203105726899629,0.7270757614602341,0.989867,0.8502998948097229,48.64864864864865
en_pt_br,"However, if I today, then you tomorrow, maybe even more of us someday, if we embrace our right to look like ourselves, then in the world that's been violently whitewashed, we will become the pinpricks of color pushing through, much like those widows of Vrindavan.","No entanto, se eu hoje, depois você amanhã, talvez mais alguns de nós algum dia, se abraçarmos nosso direito de sermos nós mesmos, em um mundo que tem sido violentamente privado de cores, seremos esses raios de cores que abrem luz pelo caminho, como as viúvas de Vrindavan.","No entanto, se eu hoje e você amanhã, talvez até mais gente algum dia, se abraçarmos o nosso direito de parecer como somos, então no mundo que foi violentamente branqueado, tornaremos-se os pinhões de cor quebrando através, muito como as viúvas de Vrindavan.",10769,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(5),"wl, ie",0.3082449690079762,0.5343154191110108,0.98915786,0.6000024080276489,54.16666666666666
en_pt_br,"And through campus-level proceedings, Title IX goes so far as to give victims equitable rights during the campus process, which means that victims can represent their own interests during proceedings, rather than relying on educational institutions to do so.","E em processos no campus, o Título IX chega ao ponto de dar às vítimas direitos iguais durante o processo no campus, o que significa que vítimas podem representar seus próprios interesses, em vez de terem que contar com as instituições educacionais para tal.","E através de procedimentos de nível de campus, a Lei IX vai até o ponto de dar aos vítimas direitos igualitários durante o processo de campus, o que significa que as vítimas podem representar seus próprios interesses durante os procedimentos em vez de depender das instituições educacionais para fazê-lo.",72326,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Through(3),co,0.2924382706187761,0.5937491063513397,0.9821846,0.8368046879768372,52.27272727272727
en_pt_br,And the magic and the horror of that is that the same math that you use to break up the big thing into a million little things can be used to find a million little things and sew them back together and figure out what's actually happening in the market.,"E a mágica e o horror disso é que a mesma matemática que se usa para partir a coisa grande em milhões de coisinhas pode ser usada para encontrar um milhão de coisinhas e as emendar, todas juntas novamente e entender o que realmente está acontecendo no mercado.",E o fascínio e o terror disso é que o mesmo cálculo que você usa para desmontar o grande coisa em uma milhão de coisas pequenas pode ser usado para encontrar uma milhão de coisas pequenas e costurá-las novamente e descobrir o que está realmente acontecendo no mercado.,27134,SRC_TM_DATA/data_2024/en-pt_br-2.tmx,Into(3),"wl, ag",0.1182822383468962,0.5248385660209308,0.97593874,0.7646889686584473,50.0
